airport_id,airport_code,city,country
6001,AP001,Pune,Singapore
6002,AP002,Jaipur,Singapore
6003,AP003,Jaipur,UK
6004,AP004,Delhi,Thailand
6005,AP005,Pune,Singapore
6006,AP006,Bengaluru,UK
6007,AP007,Kolkata,India
6008,AP008,Chennai,UK
6009,AP009,Pune,Singapore
6010,AP010,Kolkata,India
6011,AP011,Hyderabad,UK
6012,AP012,Chennai,Singapore
6013,AP013,Pune,UK
6014,AP014,Bengaluru,UK
6015,AP015,Chennai,UAE
6016,AP016,Kolkata,UAE
6017,AP017,Bengaluru,India
6018,AP018,Hyderabad,UAE
6019,AP019,Jaipur,UK
6020,AP020,Mumbai,Thailand
6021,AP021,Mumbai,India
6022,AP022,Mumbai,India
6023,AP023,Hyderabad,Thailand
6024,AP024,Delhi,Thailand
6025,AP025,Mumbai,India
6026,AP026,Bengaluru,UAE
6027,AP027,Kolkata,UK
6028,AP028,Bengaluru,Singapore
6029,AP029,Hyderabad,UK
6030,AP030,Bengaluru,Thailand
