booking_id,passenger_id,flight_id,booking_date,booking_status,seat_class
800001,508488,705346,2024-12-17,Confirmed,Business
800002,505744,709874,2025-04-08,Cancelled,Economy
800003,504664,707631,2025-11-07,Completed,Premium Economy
800004,501110,707805,2025-11-24,Confirmed,Economy
800005,502687,701507,2025-01-26,Completed,Business
800006,502485,703563,2025-10-03,Completed,Business
800007,503386,702948,2025-01-05,Completed,Business
800008,501352,707241,2025-10-27,Completed,Economy
800009,508689,704923,2025-01-02,Completed,Premium Economy
800010,503952,709148,2025-05-01,Completed,Economy
800011,507069,708621,2024-10-19,Cancelled,Business
800012,506329,704341,2025-05-29,Confirmed,Premium Economy
800013,500314,704076,2025-02-23,Cancelled,Premium Economy
800014,506507,702952,2024-11-16,Completed,Economy
800015,503554,704771,2025-10-19,Cancelled,Premium Economy
800016,509334,701473,2024-10-18,Confirmed,Business
800017,505329,707309,2025-08-05,Cancelled,Economy
800018,500419,709334,2025-03-16,Completed,Premium Economy
800019,503755,708473,2025-01-21,Confirmed,Premium Economy
800020,509589,707220,2025-05-14,Confirmed,Premium Economy
800021,507270,705487,2025-10-18,Confirmed,Economy
800022,506738,703002,2025-08-22,Completed,Premium Economy
800023,501685,704604,2025-01-22,Completed,Economy
800024,505363,709214,2025-09-09,Completed,Premium Economy
800025,508202,708440,2025-10-20,Completed,Premium Economy
800026,503489,702553,2025-12-14,Cancelled,Premium Economy
800027,506264,706601,2025-03-13,Cancelled,Premium Economy
800028,509090,704985,2025-10-18,Confirmed,Premium Economy
800029,509843,707590,2025-09-01,Cancelled,Economy
800030,502241,705619,2024-10-27,Confirmed,Premium Economy
800031,508961,707893,2025-05-20,Completed,Business
800032,504952,707000,2025-05-10,Cancelled,Business
800033,500154,704038,2025-01-15,Cancelled,Economy
800034,501606,709587,2025-01-02,Completed,Business
800035,504650,709985,2025-05-21,Cancelled,Economy
800036,507884,709236,2024-12-25,Cancelled,Economy
800037,505807,706363,2025-07-25,Cancelled,Business
800038,509622,707278,2025-10-26,Completed,Business
800039,506739,708839,2025-02-13,Cancelled,Business
800040,509750,709271,2025-11-13,Completed,Premium Economy
800041,505279,707109,2025-01-24,Cancelled,Economy
800042,502525,704501,2025-10-28,Cancelled,Premium Economy
800043,508201,708662,2025-01-10,Completed,Premium Economy
800044,500360,702817,2025-06-21,Completed,Premium Economy
800045,500306,701618,2025-07-24,Confirmed,Economy
800046,505412,706667,2025-03-02,Completed,Premium Economy
800047,504600,709149,2025-09-23,Cancelled,Economy
