flight_id,flight_no,origin_airport,destination_airport,flight_date,base_fare
700001,FL1000,6028,6018,2025-08-10,36116.95
700002,FL1001,6011,6010,2025-07-27,10005.82
700003,FL1002,6005,6023,2025-11-26,21969.21
700004,FL1003,6019,6011,2025-03-30,34496.36
700005,FL1004,6027,6004,2025-08-03,60668.61
700006,FL1005,6015,6004,2025-01-22,43248.2
700007,FL1006,6028,6006,2025-06-03,47398.33
700008,FL1007,6008,6019,2025-07-27,8225.79
700009,FL1008,6015,6003,2025-12-12,51293.43
700010,FL1009,6010,6018,2025-05-10,51682.25
700011,FL1010,6030,6019,2025-09-11,5192.64
700012,FL1011,6017,6006,2025-06-30,7309.02
700013,FL1012,6018,6024,2025-06-28,68764.91
700014,FL1013,6015,6008,2025-06-10,65243.84
700015,FL1014,6004,6029,2025-02-18,59933.85
700016,FL1015,6019,6030,2025-02-12,49922.96
700017,FL1016,6025,6001,2025-07-05,23568.01
700018,FL1017,6011,6027,2025-03-06,20202.19
700019,FL1018,6029,6016,2025-04-05,56690.12
700020,FL1019,6019,6014,2025-06-01,56375.74
700021,FL1020,6019,6004,2025-12-02,11140.37
700022,FL1021,6020,6009,2025-09-17,38286.07
700023,FL1022,6016,6008,2025-10-12,35097.11
700024,FL1023,6028,6017,2025-12-30,13147.58
700025,FL1024,6012,6022,2025-09-05,57919.7
700026,FL1025,6017,6028,2025-03-08,13966.91
700027,FL1026,6028,6021,2025-07-30,38195.58
700028,FL1027,6009,6016,2025-04-29,48390.07
700029,FL1028,6026,6008,2025-09-05,56878.1
700030,FL1029,6024,6023,2025-06-26,20541.11
700031,FL1030,6002,6004,2025-09-15,2786.05
700032,FL1031,6012,6025,2025-02-05,19320.35
700033,FL1032,6021,6026,2025-05-06,60045.91
700034,FL1033,6004,6030,2025-12-07,5342.24
700035,FL1034,6004,6010,2025-11-26,66389.99
700036,FL1035,6015,6019,2025-08-30,33817.33
700037,FL1036,6029,6002,2025-02-28,25697.37
700038,FL1037,6005,6018,2025-03-09,6277.98
700039,FL1038,6018,6014,2025-03-16,39020.14
700040,FL1039,6011,6012,2025-08-20,5254.43
700041,FL1040,6023,6020,2025-01-25,41130.71
700042,FL1041,6030,6025,2025-01-05,44671.55
700043,FL1042,6025,6027,2025-12-15,47005.71
700044,FL1043,6003,6011,2025-10-01,20824.39
700045,FL1044,6019,6021,2025-12-30,73163.68
700046,FL1045,6027,6013,2025-05-07,35720.85
700047,FL1046,6026,6006,2025-04-30,44155.61
700048,FL1047,6019,6027,2025-11-02,5064.25
700049,FL1048,6020,6002,2025-11-01,40719.5
700050,FL1049,6027,6004,2025-07-08,32760.22
700051,FL1050,6016,6015,2025-03-11,10362.42
700052,FL1051,6026,6019,2025-02-25,52449.23
700053,FL1052,6003,6001,2025-01-27,3599.32
700054,FL1053,6028,6007,2025-05-26,57324.82
700055,FL1054,6030,6011,2025-01-31,67354.23
700056,FL1055,6014,6004,2025-10-11,20940.45
700057,FL1056,6012,6007,2025-11-10,19175.38
700058,FL1057,6007,6018,2025-11-25,56022.82
700059,FL1058,6003,6006,2025-09-14,49874.89
700060,FL1059,6002,6025,2025-12-19,42543.78
700061,FL1060,6015,6004,2025-12-13,28516.92
700062,FL1061,6023,6018,2025-06-02,14689.01
700063,FL1062,6026,6007,2025-02-03,6278.23
700064,FL1063,6011,6018,2025-01-09,10600.42
700065,FL1064,6005,6030,2025-06-22,23179.7
700066,FL1065,6002,6003,2025-06-19,40107.16
700067,FL1066,6008,6001,2025-12-28,40659.37
700068,FL1067,6029,6010,2025-01-05,3336.85
700069,FL1068,6027,6021,2025-10-11,38390.75
700070,FL1069,6028,6015,2025-05-31,28274.04
700071,FL1070,6014,6028,2025-10-07,64764.13
700072,FL1071,6026,6024,2025-04-04,18068.3
700073,FL1072,6006,6023,2025-01-18,67658.41
700074,FL1073,6022,6025,2025-02-23,37503.79
700075,FL1074,6021,6014,2025-02-21,58078.02
700076,FL1075,6007,6002,2025-08-08,62546.92
700077,FL1076,6017,6009,2025-09-19,17527.64
700078,FL1077,6009,6013,2025-10-23,13293.15
700079,FL1078,6015,6001,2025-10-23,13128.64
700080,FL1079,6027,6016,2025-04-10,52482.24
700081,FL1080,6007,6007,2025-12-24,10771.35
700082,FL1081,6026,6026,2025-11-10,13286.91
700083,FL1082,6020,6022,2025-06-14,69758.68
700084,FL1083,6014,6006,2025-04-29,29117.14
700085,FL1084,6016,6005,2025-06-24,37638.47
700086,FL1085,6017,6019,2025-06-05,11721.9
700087,FL1086,6010,6011,2025-05-31,39866.49
700088,FL1087,6019,6021,2025-12-18,33871.43
700089,FL1088,6022,6018,2025-12-26,62883.81
700090,FL1089,6013,6030,2025-09-13,31796.97
700091,FL1090,6030,6014,2025-12-03,48947.0
700092,FL1091,6002,6013,2025-03-06,26546.92
700093,FL1092,6012,6014,2025-04-13,3711.77
700094,FL1093,6002,6001,2025-04-23,28198.98
700095,FL1094,6020,6028,2025-01-14,30487.46
700096,FL1095,6015,6004,2025-11-20,37568.65
700097,FL1096,6010,6021,2025-01-07,52607.37
700098,FL1097,6021,6003,2025-05-16,16337.03
700099,FL1098,6023,6006,2025-07-03,33416.92
700100,FL1099,6018,6001,2025-11-29,58608.34
700101,FL1100,6028,6023,2025-11-14,52938.04
700102,FL1101,6009,6013,2025-04-08,47378.88
700103,FL1102,6030,6023,2025-09-01,36321.0
700104,FL1103,6020,6012,2025-09-28,9813.27
700105,FL1104,6015,6013,2025-03-30,51927.95
700106,FL1105,6029,6004,2025-11-29,73390.2
700107,FL1106,6019,6020,2025-05-20,24779.63
700108,FL1107,6015,6007,2025-05-14,62968.83
700109,FL1108,6006,6018,2025-10-26,63308.95
700110,FL1109,6003,6015,2025-11-03,45350.01
700111,FL1110,6018,6007,2025-01-18,64254.26
700112,FL1111,6011,6019,2025-11-30,27561.13
700113,FL1112,6001,6029,2025-05-04,36171.16
700114,FL1113,6002,6026,2025-07-07,67902.95
700115,FL1114,6019,6006,2025-11-12,68178.97
700116,FL1115,6025,6004,2025-08-18,5203.54
700117,FL1116,6008,6013,2025-07-26,17022.34
700118,FL1117,6023,6024,2025-10-19,69336.91
700119,FL1118,6014,6009,2025-11-13,74055.72
700120,FL1119,6012,6014,2025-01-25,62154.91
