order_item_id,order_id,product_id,quantity,unit_price,line_total
1,5001,201,1,75000,75000
2,5001,203,2,1200,2400
3,5002,202,1,52000,52000
4,5002,204,1,3500,3500
5,5003,205,3,14500,43500
6,5003,210,2,4200,8400
7,5004,207,2,9500,19000
8,5004,208,1,2800,2800
9,5005,201,2,75000,150000
10,5005,206,1,22000,22000
11,5006,209,1,18500,18500
12,5007,202,2,52000,104000
13,5007,204,2,3500,7000
14,5008,206,1,22000,22000
15,5008,210,3,4200,12600
16,5009,203,5,1200,6000
17,5009,208,2,2800,5600
18,5010,201,1,75000,75000
19,5010,207,4,9500,38000
20,5011,202,1,52000,52000
21,5011,209,2,18500,37000
22,5012,205,2,14500,29000
23,5012,203,3,1200,3600
24,5013,201,1,75000,75000
25,5013,210,1,4200,4200
26,5014,206,2,22000,44000
27,5014,204,3,3500,10500
28,5015,201,1,75000,75000
29,5015,208,4,2800,11200
