item_id,order_id,product_id,quantity,unit_price
1,10979,469,2,1716.73
2,14962,136,5,5846.66
3,11130,92,1,8797.95
4,7474,428,5,1211.53
5,8255,320,4,7113.73
6,7585,420,1,968.02
7,7945,341,2,6881.86
8,12577,362,3,9726.31
9,1704,231,1,1578.47
10,3102,254,1,8610.26
11,10062,210,3,4078.3
12,7392,180,4,7937.75
13,6040,254,4,8610.26
14,9177,214,3,8463.2
15,640,114,3,3570.81
16,8509,101,2,6090.24
17,5903,442,3,722.71
18,8153,44,5,3917.55
19,8890,140,4,621.76
20,13757,12,1,3492.99
21,1944,208,4,8638.99
22,1253,213,2,3800.6
23,2667,108,4,1734.18
24,914,238,3,8127.0
25,5807,392,5,557.07
26,3768,63,2,5383.93
27,4240,104,4,4430.26
28,538,275,5,8842.88
29,12559,258,3,9737.13
30,975,381,5,3904.17
31,9720,291,5,5087.5
32,4960,143,2,5350.83
33,14798,485,3,8787.67
34,13758,393,2,9148.93
35,9236,406,1,5823.84
36,13761,96,5,2678.45
37,3244,403,1,4023.58
38,14006,190,4,1021.97
39,4666,414,4,8456.47
40,12295,458,1,1066.87
41,7556,266,2,4135.03
42,7671,385,3,9715.08
43,5506,144,4,1912.27
44,9852,3,5,6914.47
45,1223,242,4,7663.19
46,12373,430,5,5913.18
47,8537,312,3,7979.12
48,8528,481,5,4000.0
49,4627,297,5,6822.62
50,11530,63,4,5383.93
51,12297,15,5,3870.03
52,8977,292,5,6604.75
53,177,465,5,9276.0
54,2419,164,2,8667.88
55,13258,86,4,4357.67
56,2880,46,4,8792.03
57,3211,264,2,9277.81
58,9171,67,4,9629.35
59,8776,444,3,7201.79
60,890,210,5,4078.3
61,5128,499,5,3186.27
62,10077,408,3,8941.62
63,3362,415,4,2187.71
64,2508,149,1,938.71
65,9352,183,5,5880.7
66,9227,189,3,8899.99
67,4426,239,5,1994.61
68,350,18,5,1342.37
69,10106,488,5,6635.81
70,14496,302,2,256.64
71,14803,424,1,9131.51
72,3704,419,1,2984.31
73,8955,24,5,8996.96
74,3394,169,3,1462.57
75,381,385,4,9715.08
76,94,487,2,6550.82
77,6611,402,4,2303.92
78,12839,222,3,9786.82
79,1293,380,1,4507.23
80,9024,310,4,5989.12
81,8704,319,5,3953.51
82,7725,497,5,4248.99
83,14912,114,3,3570.81
84,11285,322,5,6758.75
85,7292,332,2,2539.39
86,9523,341,2,6881.86
87,2443,386,2,3146.12
88,1245,174,4,7399.81
89,9826,183,4,5880.7
90,13794,459,4,1906.15
91,182,370,2,8466.61
92,11664,459,5,1906.15
93,4527,473,1,4297.32
94,10779,95,3,3387.4
95,10055,371,5,2310.72
96,1707,381,4,3904.17
97,9175,172,3,8002.21
98,14486,193,2,1281.1
99,9520,455,3,1899.28
100,6783,91,3,7135.75
101,1824,248,4,5592.3
102,10019,136,5,5846.66
103,14729,53,1,7460.59
104,9220,272,2,4556.48
105,4625,495,1,6702.94
106,3772,223,1,6357.32
107,3261,396,3,8634.83
108,14892,154,3,7802.63
109,412,298,3,8878.51
110,3941,435,3,9744.01
111,4879,393,3,9148.93
112,2649,51,2,8177.56
113,6506,261,5,980.67
114,14180,203,5,8511.61
115,9081,491,4,7055.9
116,4513,266,3,4135.03
117,6484,284,2,9324.98
118,13086,10,4,395.33
119,4285,338,3,9668.48
120,11142,424,1,9131.51
121,12782,457,5,9921.34
122,812,145,1,6422.41
123,546,478,4,6425.58
124,13590,424,1,9131.51
125,4366,333,1,3312.61
126,9364,471,5,3581.14
127,11501,287,4,200.71
128,3448,160,3,451.76
129,6067,192,3,8165.24
130,13028,354,2,7095.06
131,14143,152,2,9565.43
132,7711,261,2,980.67
133,7210,273,2,6942.27
134,11608,468,2,4653.8
135,14272,216,4,3464.18
136,10955,378,3,3236.96
137,242,465,1,9276.0
138,11832,471,1,3581.14
139,8731,44,4,3917.55
140,223,104,2,4430.26
141,1222,208,2,8638.99
142,11174,429,2,4716.21
143,4321,6,3,2683.41
144,12831,159,4,1801.45
145,1391,384,4,7551.73
146,13126,462,2,9857.56
147,9703,321,1,9739.1
148,11992,6,3,2683.41
149,9179,374,2,9108.7
150,4402,466,4,2173.99
151,6248,494,3,3573.94
152,11230,436,5,6908.99
153,11856,256,2,8632.64
154,4546,142,2,6545.75
155,452,39,2,3738.32
156,11984,382,1,2606.69
157,6276,22,1,1658.35
158,14088,342,4,6063.95
159,13907,229,5,1133.55
160,4133,480,4,5205.62
161,7344,14,4,7643.58
162,4431,258,4,9737.13
163,5371,317,5,9246.11
164,4083,410,1,9139.34
165,12106,319,2,3953.51
166,14817,402,2,2303.92
167,2445,314,4,9504.99
168,8295,234,3,5838.32
169,4168,431,4,7429.75
170,9654,303,5,9299.69
171,9470,41,2,6972.61
172,4205,425,5,3696.53
173,5137,51,1,8177.56
174,1027,359,3,4809.77
175,12435,336,5,7047.79
176,3024,243,4,3831.51
177,8857,131,2,884.97
178,6517,253,4,6781.48
179,4806,146,1,4918.85
180,3887,91,3,7135.75
181,4103,223,5,6357.32
182,2296,494,4,3573.94
183,1372,320,2,7113.73
184,13355,363,3,6816.26
185,2476,125,2,2911.91
186,11508,276,3,2146.27
187,5723,66,1,6722.57
188,11301,464,4,8934.52
189,10603,342,3,6063.95
190,13524,47,1,6387.23
191,1901,65,5,7934.0
192,10235,464,1,8934.52
193,10369,460,2,4289.39
194,2789,143,5,5350.83
195,11181,30,4,7899.0
196,1351,459,2,1906.15
197,7424,188,4,5330.51
198,277,498,4,6884.43
199,13309,14,1,7643.58
200,12217,416,2,6564.11
201,569,14,5,7643.58
202,3133,285,1,3933.55
203,2445,85,2,2064.18
204,2805,463,5,7898.4
205,6554,499,1,3186.27
206,3936,371,5,2310.72
207,13752,359,2,4809.77
208,10303,409,5,5767.52
209,3603,288,5,6906.22
210,2380,324,2,2208.08
211,8404,426,1,3257.04
212,6234,104,1,4430.26
213,9991,66,4,6722.57
214,10062,342,2,6063.95
215,10460,144,1,1912.27
216,4452,235,5,8300.53
217,8274,439,3,3081.57
218,10990,71,5,1415.95
219,324,168,3,1657.22
220,9453,387,1,7256.07
221,7822,330,3,9882.58
222,11311,66,4,6722.57
223,5131,435,2,9744.01
224,7482,418,1,4286.55
225,6180,65,5,7934.0
226,3312,124,5,8055.13
227,7716,61,5,1207.44
228,6628,101,3,6090.24
229,9268,380,2,4507.23
230,3473,174,4,7399.81
231,2602,196,2,3830.25
232,14857,145,1,6422.41
233,2538,486,4,9524.97
234,6044,21,2,9286.01
235,12751,229,2,1133.55
236,7700,290,5,1424.2
237,7748,68,2,4687.17
238,4547,373,1,5173.76
239,13388,131,4,884.97
240,2284,48,3,1838.87
241,10911,267,3,9197.24
242,10635,36,1,5763.51
243,2743,291,1,5087.5
244,4842,243,2,3831.51
245,6775,37,2,5308.22
246,12361,243,4,3831.51
247,14997,181,3,5638.45
248,3133,390,4,1940.5
249,5512,263,3,2663.77
250,380,125,5,2911.91
251,3902,219,4,6055.1
252,8258,403,3,4023.58
253,5711,303,5,9299.69
254,183,383,4,5157.46
255,4320,341,4,6881.86
256,10031,173,4,3149.12
257,13818,419,4,2984.31
258,1152,293,2,8242.9
259,2816,328,1,8910.25
260,5275,193,3,1281.1
261,9227,88,3,8219.74
262,5309,439,4,3081.57
263,3558,53,2,7460.59
264,4573,75,2,8352.41
265,230,142,3,6545.75
266,5818,112,1,8874.43
267,5282,325,5,4799.01
268,11170,456,2,8200.2
269,4893,128,4,1686.89
270,3587,283,5,5067.19
271,13728,309,3,6463.56
272,5455,422,4,9215.56
273,9179,452,3,7515.99
274,3862,284,2,9324.98
275,11973,62,3,2223.61
276,4738,26,2,482.02
277,9968,39,3,3738.32
278,6648,239,1,1994.61
279,8758,372,1,1234.45
280,12429,416,5,6564.11
281,6107,498,1,6884.43
282,1224,16,2,8266.92
283,4339,210,4,4078.3
284,13690,197,5,6070.18
285,3527,463,1,7898.4
286,3267,480,5,5205.62
287,6274,244,1,1081.56
288,12094,355,4,8627.33
289,12942,233,1,4748.37
290,816,327,5,9601.35
291,11242,438,4,9206.62
292,1896,483,1,9066.19
293,604,462,3,9857.56
294,9024,469,4,1716.73
295,330,277,1,2568.61
296,8409,343,3,3581.46
297,11238,114,1,3570.81
298,7395,20,2,5418.04
299,14521,134,1,5480.33
300,11379,329,2,1250.04
301,3483,127,1,5911.04
302,3150,307,1,4019.4
303,7910,406,5,5823.84
304,1520,358,5,3041.52
305,8303,495,3,6702.94
306,9280,309,1,6463.56
307,7070,254,3,8610.26
308,9110,439,3,3081.57
309,771,442,1,722.71
310,5602,463,5,7898.4
311,4840,33,4,968.15
312,5924,384,3,7551.73
313,10323,253,2,6781.48
314,13078,364,3,9723.49
315,1425,442,2,722.71
316,1624,409,4,5767.52
317,14433,404,1,3218.34
318,4250,282,2,6977.05
319,3259,188,2,5330.51
320,12024,500,1,9839.38
321,4399,406,1,5823.84
322,698,386,3,3146.12
