order_id,customer_id,order_date,total_amount,status
1,1575,2025-08-05,37132.33,Shipped
2,671,2026-03-27,35349.64,Completed
3,277,2025-08-07,71640.35,Completed
4,676,2025-02-05,0.0,Completed
5,4132,2025-02-24,5087.5,Completed
6,4489,2026-01-13,67893.6,Shipped
7,4899,2025-06-26,17335.76,Cancelled
8,4302,2026-01-06,70560.7,Completed
9,1080,2025-06-25,3167.56,Completed
10,4003,2026-02-24,38984.93,Shipped
11,74,2025-07-17,0.0,Completed
12,3012,2026-01-19,644.96,Completed
13,2946,2025-01-05,53889.71,Completed
14,1496,2026-03-11,81671.17,Completed
15,1427,2025-05-17,0.0,Shipped
16,4875,2025-12-17,5463.67,Completed
17,4783,2025-05-10,0.0,Pending
18,1654,2025-08-04,22580.25,Cancelled
19,611,2025-12-24,17042.7,Completed
20,3104,2025-09-08,735.45,Shipped
21,2596,2026-02-15,69275.06,Shipped
22,1113,2025-04-24,17883.24,Completed
23,1156,2026-01-28,11581.94,Completed
24,1916,2025-06-27,11273.41,Cancelled
25,3531,2025-06-06,10729.86,Shipped
26,465,2025-12-16,17844.62,Completed
27,4555,2025-08-03,10224.97,Shipped
28,465,2025-09-14,0.0,Completed
29,3483,2025-09-28,12923.21,Completed
30,3486,2025-12-07,53497.37,Cancelled
31,914,2025-06-09,18165.3,Completed
32,3288,2025-01-15,100437.6,Shipped
33,335,2025-09-02,0.0,Completed
34,643,2025-11-10,48655.79,Pending
35,3194,2025-08-13,112133.25,Completed
36,4075,2025-06-06,40599.7,Completed
37,3468,2025-04-03,23950.13,Completed
38,3242,2026-03-15,89797.67,Completed
39,3475,2025-12-29,58389.47,Completed
40,1781,2025-05-04,47197.68,Shipped
41,813,2025-02-24,42063.68,Completed
42,4896,2025-11-06,97063.16,Shipped
43,4641,2026-01-04,35236.75,Completed
44,637,2025-12-05,77201.35,Cancelled
45,3994,2025-01-08,95131.86,Pending
46,1433,2025-12-02,1906.15,Pending
47,3373,2025-01-28,67305.77,Completed
48,4647,2025-11-01,17309.4,Completed
49,4295,2025-01-16,0.0,Shipped
50,63,2026-03-13,9465.0,Completed
51,4324,2025-07-03,34498.16,Shipped
52,1771,2026-03-14,39573.5,Shipped
53,2224,2025-06-18,7055.9,Shipped
54,2805,2025-12-30,16884.17,Completed
55,2951,2026-01-19,45237.22,Pending
56,1418,2025-02-22,43184.89,Cancelled
57,4534,2026-03-11,14368.63,Completed
58,3125,2025-02-09,24679.2,Cancelled
59,1210,2025-05-29,7336.09,Completed
60,103,2025-10-15,121279.28,Cancelled
61,1664,2026-01-08,19949.0,Completed
62,3219,2025-04-14,33045.4,Cancelled
63,1102,2025-12-09,58447.95,Completed
64,1074,2025-06-14,49164.64,Cancelled
65,4083,2026-02-07,42361.21,Shipped
66,1267,2025-08-14,111683.25,Shipped
67,4346,2025-10-10,38067.43,Completed
68,2297,2025-10-25,41715.95,Completed
69,4822,2025-08-17,53013.63,Cancelled
70,4386,2025-04-06,17343.8,Pending
71,1056,2025-09-16,9447.36,Completed
72,3901,2025-12-25,29360.46,Shipped
73,625,2025-05-25,32703.62,Shipped
74,1980,2025-05-04,0.0,Completed
75,861,2025-10-15,60449.97,Completed
76,4849,2025-02-03,4799.01,Completed
77,1641,2025-05-29,67988.67,Completed
78,1123,2025-08-18,58102.61,Completed
79,2063,2025-05-27,0.0,Completed
80,3170,2026-01-19,6157.74,Shipped
81,1813,2025-04-07,24681.25,Pending
82,1130,2025-02-20,90059.65,Completed
83,3387,2025-11-02,65084.35,Cancelled
84,2669,2025-06-06,57106.72,Shipped
85,3097,2025-07-12,44657.72,Shipped
86,4490,2025-07-28,27784.8,Completed
87,4960,2025-04-15,77995.15,Pending
88,4307,2026-01-06,47034.7,Cancelled
89,2648,2025-12-26,111987.61,Shipped
90,4231,2025-02-27,28982.55,Shipped
91,1988,2025-10-19,8827.18,Completed
92,2628,2025-03-17,9608.72,Pending
93,4673,2025-07-30,21836.36,Pending
94,3779,2025-03-18,30561.28,Completed
95,1027,2026-03-26,65225.55,Shipped
96,582,2025-05-24,15561.73,Cancelled
97,1538,2025-06-09,20276.25,Completed
98,2542,2025-06-25,125624.16,Shipped
99,1293,2025-10-11,46692.0,Pending
100,1130,2025-02-02,12305.32,Shipped
101,1525,2025-09-13,7095.06,Completed
102,2708,2025-05-11,5550.15,Shipped
103,1810,2025-09-10,61152.6,Pending
104,1684,2025-12-21,55426.92,Cancelled
105,191,2025-08-11,54220.08,Completed
106,4412,2025-12-23,1295.14,Completed
107,1818,2025-10-08,16800.66,Completed
108,4900,2025-08-07,42261.79,Shipped
109,2048,2026-03-10,26218.35,Completed
110,2388,2025-02-11,67890.88,Shipped
111,1080,2025-08-07,88599.62,Pending
112,4546,2025-11-27,26811.76,Shipped
113,2481,2025-08-29,13392.25,Shipped
114,3345,2025-05-17,109700.47,Cancelled
115,1542,2025-07-23,20578.4,Completed
116,4363,2025-10-09,17100.23,Completed
117,3016,2025-07-15,43311.33,Shipped
118,4068,2025-12-16,32348.56,Completed
119,3657,2025-03-17,59403.37,Completed
120,4205,2026-01-20,43270.34,Shipped
121,3591,2025-12-13,70874.01,Shipped
122,3450,2025-11-04,33612.85,Completed
123,1684,2026-03-10,18458.6,Completed
124,1369,2025-02-04,27577.52,Shipped
125,1748,2025-02-10,104600.88,Shipped
126,4951,2025-03-19,49502.9,Cancelled
127,2855,2025-09-18,112420.11,Completed
128,2442,2025-07-02,644.96,Pending
129,3214,2025-02-22,90493.28,Cancelled
130,4654,2025-01-09,93864.15,Shipped
131,2460,2025-04-17,60222.97,Completed
132,3758,2025-02-19,4507.23,Pending
133,2147,2025-02-12,9457.36,Cancelled
134,2138,2026-01-02,63846.42,Shipped
135,4309,2025-06-09,0.0,Shipped
136,3632,2025-03-27,0.0,Cancelled
137,1495,2026-01-14,32969.78,Completed
138,1281,2025-04-21,52501.02,Pending
139,3441,2026-03-16,26352.77,Completed
140,1850,2026-01-24,42545.04,Shipped
141,228,2025-08-13,36739.84,Completed
142,654,2025-05-12,4321.08,Completed
143,1233,2025-01-19,52031.14,Shipped
144,2455,2025-10-24,120012.33,Completed
145,3762,2025-09-18,3539.88,Completed
146,824,2025-01-20,10215.26,Completed
147,2690,2025-06-05,8962.34,Completed
148,2628,2025-04-23,0.0,Cancelled
149,4539,2025-06-05,38692.72,Cancelled
150,2587,2025-04-07,15699.4,Shipped
151,41,2025-03-23,35691.09,Cancelled
152,3972,2025-03-09,46887.4,Completed
153,275,2025-10-28,50358.73,Completed
154,2727,2025-02-13,2064.18,Cancelled
155,1551,2025-04-13,8962.34,Completed
156,4451,2025-05-05,17041.62,Shipped
157,4891,2025-09-01,75346.28,Completed
158,2060,2025-06-27,32929.63,Shipped
159,199,2025-08-30,95412.85,Pending
160,601,2025-08-14,836.26,Completed
161,2396,2026-01-05,46747.5,Cancelled
162,429,2025-02-22,50316.58,Completed
163,3807,2025-02-22,25354.44,Shipped
164,2263,2026-02-13,28363.55,Completed
165,4309,2025-09-24,10408.43,Shipped
166,2872,2025-01-23,75311.51,Pending
167,599,2025-07-16,29119.2,Cancelled
168,1177,2025-10-21,18421.28,Completed
169,3593,2025-01-11,34984.87,Cancelled
170,1768,2025-07-24,41941.16,Shipped
171,2258,2025-01-30,67959.86,Shipped
172,2970,2026-03-27,15407.85,Completed
173,4373,2025-04-30,101420.0,Shipped
174,2031,2026-02-06,100661.96,Shipped
175,4479,2025-06-28,64132.14,Completed
176,202,2025-04-26,38253.35,Shipped
177,1817,2025-09-18,70317.36,Completed
178,1863,2026-01-29,92835.01,Completed
179,1107,2025-06-26,107503.9,Shipped
180,2598,2026-02-16,10916.58,Completed
181,460,2025-03-19,1596.52,Shipped
182,2224,2025-05-20,47384.42,Shipped
183,1086,2025-10-05,76552.83,Cancelled
184,425,2025-01-24,14633.98,Cancelled
185,3626,2025-06-21,5690.41,Completed
186,4405,2025-05-31,35719.9,Cancelled
187,3084,2025-04-30,148918.91,Cancelled
188,1882,2026-02-07,94553.68,Shipped
189,3933,2025-11-05,8492.74,Shipped
190,2618,2025-02-15,63808.87,Completed
191,3870,2025-01-31,100023.5,Completed
192,3460,2025-04-05,7355.48,Cancelled
193,2052,2025-12-10,74621.4,Shipped
194,3438,2026-02-02,38865.37,Shipped
195,4748,2025-01-02,13792.05,Shipped
196,1051,2025-12-05,8594.64,Shipped
197,2666,2025-02-05,41141.05,Cancelled
198,2955,2025-01-17,0.0,Completed
199,4618,2026-02-27,16726.05,Completed
200,4542,2025-10-26,39169.0,Shipped
201,618,2025-04-19,105796.55,Completed
202,2722,2025-03-28,39529.15,Shipped
203,536,2025-12-27,25948.11,Shipped
204,3307,2025-03-23,6436.68,Completed
205,314,2025-01-25,6906.22,Pending
206,3686,2025-02-13,110234.91,Completed
207,2620,2026-01-28,43595.25,Completed
208,2016,2025-08-16,57312.85,Pending
209,2777,2025-04-08,0.0,Cancelled
210,4459,2026-02-23,34100.64,Pending
211,140,2026-03-25,56002.74,Shipped
212,3252,2025-06-28,16094.32,Completed
213,190,2025-11-01,67931.15,Shipped
214,1527,2025-10-07,24176.51,Cancelled
215,1674,2025-06-25,56489.01,Shipped
216,2383,2025-04-28,54013.9,Completed
217,2857,2025-06-25,656.78,Completed
218,2500,2025-01-14,9837.7,Completed
219,1693,2026-01-08,0.0,Shipped
220,2660,2026-02-18,115785.18,Cancelled
221,2041,2026-03-11,52917.29,Shipped
222,1732,2025-02-04,45474.32,Shipped
223,3807,2026-03-07,33380.43,Cancelled
224,1045,2025-04-08,37464.39,Completed
225,3604,2025-06-18,26576.23,Shipped
226,657,2026-03-26,31187.33,Completed
227,4678,2025-04-29,75556.17,Completed
228,969,2025-11-14,24534.93,Shipped
229,178,2025-01-15,41423.83,Shipped
230,3562,2025-09-30,90136.99,Completed
231,2152,2025-06-06,69806.25,Shipped
232,2280,2025-02-13,19276.74,Completed
233,2083,2025-09-16,55115.91,Completed
234,2470,2025-10-24,2562.2,Completed
235,3547,2025-08-11,23995.05,Shipped
236,96,2025-07-08,32289.21,Completed
237,2294,2025-10-30,69154.32,Completed
238,4238,2026-02-01,41447.21,Shipped
239,4928,2025-08-08,37367.45,Completed
240,2725,2026-02-05,98774.92,Completed
241,4092,2025-11-07,64926.74,Cancelled
242,3651,2025-07-17,38752.79,Shipped
243,818,2026-02-17,13691.3,Completed
244,1430,2025-03-12,39132.06,Completed
245,312,2025-11-21,23849.62,Cancelled
246,297,2025-05-21,40765.95,Completed
247,1237,2025-01-30,120357.16,Cancelled
248,1745,2025-02-24,33007.74,Cancelled
249,4368,2025-03-09,69328.36,Cancelled
250,1811,2025-12-22,33023.22,Completed
251,987,2025-11-13,30500.58,Pending
252,3505,2026-02-04,10782.4,Cancelled
253,3605,2025-07-05,18572.47,Shipped
254,4921,2025-10-09,0.0,Completed
255,2735,2025-08-15,16392.59,Shipped
256,3277,2025-10-21,36092.94,Completed
257,4935,2025-01-21,9452.92,Completed
258,1056,2025-05-25,6967.14,Completed
259,3785,2025-06-09,72599.43,Completed
260,3194,2025-10-27,0.0,Completed
261,3895,2025-11-17,43050.67,Shipped
262,4354,2026-03-02,83947.52,Cancelled
263,1781,2025-10-29,0.0,Shipped
264,1269,2025-08-18,5600.78,Cancelled
265,3519,2025-08-07,15242.9,Completed
266,3918,2025-07-28,38801.9,Shipped
267,4256,2026-02-07,60314.48,Cancelled
268,286,2025-02-25,126890.3,Shipped
269,3161,2025-07-17,56631.42,Shipped
270,2373,2025-05-03,32453.2,Pending
271,4673,2025-01-07,35304.15,Completed
272,4707,2025-09-19,15571.64,Pending
273,3016,2025-05-18,64466.7,Cancelled
274,4787,2025-11-17,9432.42,Shipped
275,2353,2026-01-09,21532.04,Completed
276,4899,2025-07-03,21584.4,Cancelled
277,1742,2025-06-24,71821.66,Shipped
278,308,2025-02-04,9143.7,Completed
279,935,2026-02-15,0.0,Shipped
280,991,2025-06-01,26243.73,Cancelled
281,3890,2025-07-12,37119.82,Cancelled
282,1153,2025-01-11,82318.16,Completed
283,503,2026-03-16,26182.54,Shipped
284,4535,2025-11-21,33409.64,Pending
285,507,2025-09-23,59107.06,Completed
286,1720,2026-01-19,118318.83,Cancelled
287,672,2025-07-14,27000.4,Completed
288,1619,2025-09-27,25519.19,Completed
289,1925,2026-02-14,62199.21,Completed
290,3545,2025-05-06,0.0,Completed
291,3239,2025-11-25,51981.16,Completed
292,4837,2025-07-26,14856.62,Pending
293,4934,2026-02-11,64982.19,Completed
294,4605,2026-01-12,77526.94,Shipped
295,4470,2026-01-10,37194.63,Completed
296,971,2025-10-09,16813.87,Cancelled
297,2650,2025-07-06,38307.82,Shipped
298,3511,2026-03-09,0.0,Pending
299,4358,2025-11-27,44372.15,Pending
300,2295,2026-03-11,57411.0,Completed
301,3515,2025-12-27,3115.92,Completed
302,3524,2025-03-16,39357.52,Completed
303,1840,2025-10-31,5142.32,Pending
304,3681,2026-03-17,9215.56,Shipped
305,1423,2025-01-22,0.0,Pending
306,4037,2025-06-15,10317.5,Cancelled
307,4692,2026-01-08,72247.73,Completed
308,4390,2025-02-13,43716.5,Shipped
309,1063,2025-01-26,50273.07,Completed
310,1882,2025-10-25,91944.35,Completed
311,3304,2025-10-12,13369.96,Completed
312,203,2025-06-30,47025.75,Completed
313,4047,2025-05-13,7135.75,Completed
314,4904,2026-03-05,38238.97,Completed
315,3863,2026-03-15,2904.45,Completed
316,617,2025-09-24,68471.82,Completed
317,2731,2025-08-24,5494.3,Cancelled
318,4843,2025-01-21,0.0,Shipped
319,3832,2025-01-25,32388.44,Shipped
320,1829,2025-02-11,15031.98,Completed
321,641,2025-10-19,18533.78,Cancelled
322,2209,2025-09-06,62391.31,Shipped
323,4202,2026-01-02,68738.65,Shipped
324,767,2025-01-21,64915.06,Pending
325,2999,2026-01-09,20188.4,Shipped
326,4976,2025-04-06,106888.72,Cancelled
327,4003,2025-05-24,49844.28,Pending
328,1158,2025-04-18,0.0,Shipped
329,668,2025-01-12,3750.12,Completed
