product_id,name,category,price,stock_quantity
1,Beauty & Care Plus Item-1,Beauty & Care,6315.21,97
2,Beauty & Care Plus Item-2,Beauty & Care,732.43,276
3,Apparel Elite Item-3,Apparel,6914.47,100
4,Sports & Fitness Eco Item-4,Sports & Fitness,1038.64,317
5,Home & Kitchen Max Item-5,Home & Kitchen,6386.27,64
6,Beauty & Care Classic Item-6,Beauty & Care,2683.41,432
7,Apparel Classic Item-7,Apparel,6834.18,117
8,Sports & Fitness Eco Item-8,Sports & Fitness,6565.53,296
9,Beauty & Care Max Item-9,Beauty & Care,9075.61,482
10,Electronics Max Item-10,Electronics,395.33,424
11,Beauty & Care Pro Item-11,Beauty & Care,1837.72,428
12,Beauty & Care Prime Item-12,Beauty & Care,3492.99,101
13,Furniture Max Item-13,Furniture,7258.78,130
14,Footwear Classic Item-14,Footwear,7643.58,15
15,Apparel Max Item-15,Apparel,3870.03,41
16,Footwear Plus Item-16,Footwear,8266.92,226
17,Furniture Pro Item-17,Furniture,7305.81,334
18,Home & Kitchen Classic Item-18,Home & Kitchen,1342.37,187
19,Electronics Prime Item-19,Electronics,5022.81,302
20,Furniture Classic Item-20,Furniture,5418.04,420
21,Beauty & Care Plus Item-21,Beauty & Care,9286.01,224
22,Furniture Classic Item-22,Furniture,1658.35,189
23,Apparel Eco Item-23,Apparel,1685.18,185
24,Beauty & Care Classic Item-24,Beauty & Care,8996.96,176
25,Footwear Eco Item-25,Footwear,7621.45,479
26,Apparel Ultra Item-26,Apparel,482.02,308
27,Furniture Plus Item-27,Furniture,6600.12,76
28,Beauty & Care Eco Item-28,Beauty & Care,966.94,31
29,Furniture Pro Item-29,Furniture,3941.11,346
30,Apparel Plus Item-30,Apparel,7899.0,19
31,Furniture Plus Item-31,Furniture,5680.54,49
32,Footwear Elite Item-32,Footwear,5922.14,180
33,Apparel Classic Item-33,Apparel,968.15,376
34,Footwear Max Item-34,Footwear,4719.44,382
35,Electronics Prime Item-35,Electronics,1741.5,73
36,Furniture Prime Item-36,Furniture,5763.51,259
37,Books & Stationery Pro Item-37,Books & Stationery,5308.22,133
38,Furniture Lite Item-38,Furniture,4667.15,169
39,Apparel Pro Item-39,Apparel,3738.32,430
40,Furniture Classic Item-40,Furniture,5521.2,74
41,Home & Kitchen Elite Item-41,Home & Kitchen,6972.61,320
42,Sports & Fitness Prime Item-42,Sports & Fitness,4497.14,112
43,Home & Kitchen Plus Item-43,Home & Kitchen,3765.59,495
44,Home & Kitchen Plus Item-44,Home & Kitchen,3917.55,188
45,Sports & Fitness Eco Item-45,Sports & Fitness,1218.3,426
46,Sports & Fitness Elite Item-46,Sports & Fitness,8792.03,180
47,Sports & Fitness Classic Item-47,Sports & Fitness,6387.23,100
48,Furniture Elite Item-48,Furniture,1838.87,306
49,Electronics Max Item-49,Electronics,7978.95,153
50,Beauty & Care Lite Item-50,Beauty & Care,9478.54,195
51,Sports & Fitness Elite Item-51,Sports & Fitness,8177.56,194
52,Home & Kitchen Ultra Item-52,Home & Kitchen,8643.0,287
53,Sports & Fitness Max Item-53,Sports & Fitness,7460.59,468
54,Beauty & Care Max Item-54,Beauty & Care,7895.72,55
55,Footwear Lite Item-55,Footwear,4706.61,188
56,Apparel Eco Item-56,Apparel,7342.67,225
57,Beauty & Care Eco Item-57,Beauty & Care,6056.87,272
58,Books & Stationery Elite Item-58,Books & Stationery,7243.02,435
59,Apparel Classic Item-59,Apparel,3468.76,425
60,Footwear Plus Item-60,Footwear,8583.96,219
61,Books & Stationery Lite Item-61,Books & Stationery,1207.44,44
62,Home & Kitchen Max Item-62,Home & Kitchen,2223.61,303
63,Apparel Max Item-63,Apparel,5383.93,49
64,Sports & Fitness Lite Item-64,Sports & Fitness,3923.84,171
65,Books & Stationery Max Item-65,Books & Stationery,7934.0,437
66,Footwear Pro Item-66,Footwear,6722.57,186
67,Furniture Ultra Item-67,Furniture,9629.35,472
68,Home & Kitchen Plus Item-68,Home & Kitchen,4687.17,267
69,Electronics Max Item-69,Electronics,8226.4,441
70,Sports & Fitness Eco Item-70,Sports & Fitness,8962.34,167
71,Furniture Elite Item-71,Furniture,1415.95,270
72,Footwear Classic Item-72,Footwear,879.52,211
73,Electronics Eco Item-73,Electronics,9210.64,363
74,Footwear Ultra Item-74,Footwear,199.13,476
75,Furniture Lite Item-75,Furniture,8352.41,92
76,Footwear Classic Item-76,Footwear,704.92,109
77,Home & Kitchen Elite Item-77,Home & Kitchen,7226.24,42
78,Apparel Prime Item-78,Apparel,3697.4,350
79,Sports & Fitness Prime Item-79,Sports & Fitness,9929.03,231
